"","Species","Lmax","Linf","K","Lmat","Lmet","Expl pattern","Taxonomy","F25%ssb","IUCN","Group","Fsensi"
"1","Rostroraja alba",NA,200,0.04,129.4,NA,3,"Oviparous",0.05,"CR","Elasmobranchii",0.05
"2","Dipturus batis-complex",NA,254,0.057,130,31,3,"Oviparous",0.08,"CR","Elasmobranchii",0.08
"3","Somniosus microcephalus",NA,546,NA,400,40,7,"Viviparous",0.09,"NT","Elasmobranchii",0.09
"4","Conger conger",NA,265,0.07,NA,12.5,2,"Oviparous",0.1,"LC","Actinopterygia",0.09
"5","Dipturus nidarosiensis",200,NA,NA,135,NA,3,"Oviparous",0.11,"NT","Elasmobranchii",0.11
"6","Dipturus oxyrinchus",NA,256,0.04,83,17,4,"Oviparous",0.13,"NT","Elasmobranchii",0.13
"7","Hexanchus griseus",458,NA,NA,420,70,4,"Viviparous",0.13,"LC","Elasmobranchii",0.13
"8","Hippoglossus hippoglossus",NA,204,0.1,112,2,3,"Oviparous",0.13,"VU","Actinopterygia",0.13
"9","Dasyatis pastinaca",NA,120,0.086,63,20,3,"Viviparous",0.14,"VU","Elasmobranchii",0.14
"10","Raja clavata",NA,140,0.093,72,12,3,"Oviparous",0.15,"NT","Elasmobranchii",0.15
"11","Rajella lintea",114,NA,NA,97,NA,3,"Oviparous",0.16,"LC","Elasmobranchii",0.16
"12","Lophius piscatorius",NA,167,0.077,86,2,7,"Oviparous",0.16,"LC","Actinopterygia",0.16
"13","Molva molva",NA,183,0.118,95,2,2,"Oviparous",0.18,"LC","Actinopterygia",0.18
"14","Raja brachyura",NA,155,0.129,84,15,3,"Oviparous",0.19,"NT","Elasmobranchii",0.19
"15","Raja microocellata",91,NA,NA,78,13,3,"Oviparous",0.2,"NT","Elasmobranchii",0.2
"16","Leucoraja circularis",117,NA,NA,NA,NA,3,"Oviparous",0.2,"EN","Elasmobranchii",0.21
"17","Leucoraja fullonica",120,NA,NA,NA,NA,3,"Oviparous",0.2,"VU","Elasmobranchii",0.2
"18","Molva dypterygia",NA,155,0.126,88,2,2,"Oviparous",0.2,"VU","Actinopterygia",0.2
"19","Raja undulata",NA,113,0.149,86,14,3,"Oviparous",0.2,"NT","Elasmobranchii",0.2
"20","Amblyraja hyperborea",112,NA,NA,NA,17,3,"Oviparous",0.22,"LC","Elasmobranchii",0.22
"21","Lophius budegassa",NA,94,0.1,54,2,7,"Oviparous",0.22,"LC","Actinopterygia",0.22
"22","Scyliorhinus stellaris",162,NA,NA,NA,16,7,"Oviparous",0.22,"NT","Elasmobranchii",0.22
"23","Deania calcea",NA,119,0.08,105,32,5,"Viviparous",0.25,"EN","Elasmobranchii",0.26
"24","Brosme brosme",NA,84,0.109,48,2,7,"Oviparous",0.26,"LC","Actinopterygia",0.26
"25","Coryphaenoides rupestris",NA,76,0.1,47,2,4,"Oviparous",0.26,"EN","Actinopterygia",0.26
"26","Mora moro",NA,74,0.05,NA,2,5,"Oviparous",0.26,"LC","Actinopterygia",0.26
"27","Rajella bathyphila",90,NA,NA,NA,NA,3,"Oviparous",0.26,"LC","Elasmobranchii",0.26
"28","Anarhichas minor",NA,107,0.158,83,2,7,"Oviparous",0.27,"NT","Actinopterygia",0.27
"29","Raja montagui",NA,73,0.18,60,12,3,"Oviparous",0.27,"LC","Elasmobranchii",0.27
"30","Chimaera monstrosa",NA,64,0.1,46,10,4,"Oviparous",0.28,"NT","Holocephali",0.28
"31","Macrourus berglax",NA,62,0.04,28.5,2,5,"Oviparous",0.28,"LC","Actinopterygia",0.29
"32","Phycis blennoides",NA,113,0.0886,33,2,7,"Oviparous",0.28,"DD","Actinopterygia",0.28
"33","Brama brama",NA,71,0.08,NA,2,4,"Oviparous",0.29,"LC","Actinopterygia",0.27
"34","Dicentrarchus punctatus",NA,103,0.07,NA,2,5,"Oviparous",0.29,"LC","Actinopterygia",0.3
